"legis.names","mean.x","vars.x","party","session"
"顏錦福",-2.7645859738834,0.00131565408330385,"D","3rd Session"
"饒穎奇",2.12557505094609,0.00131565408330385,"K","3rd Session"
"馮定國",-0.671445374311569,0.00131565408330385,"k2","3rd Session"
"高惠宇",-0.633063840588809,0.00131565408330385,"k2","3rd Session"
"高揚昇",1.95351679768151,0.00131565408330385,"K","3rd Session"
"高育仁",1.74974971670847,0.00131565408330385,"K","3rd Session"
"黃主文",2.05177752587909,0.00131565408330385,"K","3rd Session"
"黃國鐘",-0.261300597439754,0.00131565408330385,"k2","3rd Session"
"黃天福",-2.70239555099303,0.00131565408330385,"D","3rd Session"
"黃昭順",2.00660829361416,0.00131565408330385,"K","3rd Session"
"黃清林",2.1456997702062,0.00131565408330385,"K","3rd Session"
"黃爾璇",-2.79688717643344,0.00131565408330385,"D","3rd Session"
"黃秀孟",2.05502162536769,0.00131565408330385,"K","3rd Session"
"丁守中",1.00049993340748,0.00106930440671708,"K","4th Session"
"伍澤元",0.69582515414773,0.00106930440671708,"O1","4th Session"
"何嘉榮",-1.49021115918636,0.00106930440671708,"D","4th Session"
"何智輝",1.05647535067512,0.00106930440671708,"K","4th Session"
"余政道",-1.57439613546594,0.00106930440671708,"D","4th Session"
"侯惠仙",0.873451043811202,0.00106930440671708,"K","4th Session"
"劉俊雄",-1.53498428863121,0.00106930440671708,"D","4th Session"
"劉光華",1.07806118296936,0.00106930440671708,"K","4th Session"
"劉憲同",1.00096140451837,0.00106930440671708,"K","4th Session"
"劉政鴻",0.919411542151813,0.00106930440671708,"K","4th Session"
"劉文雄",0.525062934786867,0.00106930440671708,"K","4th Session"
"劉松藩",0.608323901647193,0.00106930440671708,"K","4th Session"
"劉炳偉",-0.1744373113359,0.00106930440671708,"K","4th Session"
"劉盛良",1.0057530299039,0.00106930440671708,"K","4th Session"
"劉銓忠",0.766082699810327,0.00106930440671708,"O1","4th Session"
"卓榮泰",-1.54125828818159,0.00106930440671708,"D","4th Session"
"吳光訓",0.856913742917814,0.00106930440671708,"K","4th Session"
"吳克清",0.747199715697341,0.00106930440671708,"K","4th Session"
"吳清池",0.517871272648961,0.00106930440671708,"K","4th Session"
"呂新民",0.966181485907871,0.00106930440671708,"K","4th Session"
"周五六",1.25406897782935,0.00106930440671708,"K","4th Session"
"周伯倫",-1.51228167823372,0.00106930440671708,"D","4th Session"
